"location","M","D","I-PGA","I-Sas","I-Tc","II-PGA","II-Sas","II-Tc","III-PGA","III-Sas","III-Tc","IV-PGA","IV-Sas","IV-Tc","V-PGA","V-Sas","V-Tc","VI-PGA","VI-Sas","VI-Tc"
"-34.300~172.900",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"-34.300~173.000",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"-34.300~173.100",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"-34.400~172.600",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"-34.400~172.700",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"-34.400~172.800",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"-34.400~172.900",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"-34.400~173.000",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"-34.400~173.100",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"-34.500~172.600",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"-34.500~172.700",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"-34.500~172.800",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"-34.500~172.900",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"-34.500~173.000",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"-34.500~173.100",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"-34.600~172.600",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"-34.600~172.700",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"-34.600~172.800",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"-34.600~172.900",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"-34.600~173.000",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"-34.600~173.100",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"-34.700~172.800",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"-34.700~172.900",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"-34.700~173.000",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
"-34.700~173.100",6.3,">20",0.19,0.42,0.3,0.22,0.48,0.4,0.25,0.55,0.5,0.27,0.61,0.6,0.28,0.65,0.7,0.28,0.7,0.8
