location
Kaitaia
Kerikeri
Haruru
Paihia
Opua
Kawakawa
Moerewa
Kaikohe
Hikurangi
Ngunguru
Whangarei
One Tree Point
Ruakaka
Dargaville
Waipu
Mangawhai Heads
Wellsford
Warkworth
Snells Beach
Hibiscus Coast
Parakai
Helensville
Coromandel
Riverhead
Kumeu-Huapai
Waimauku
Waiheke West
Whitianga
Muriwai
Auckland
Maraetai
Beachlands-Pine Harbour
Manukau City
Tairua
Pauanui
Clarks Beach
Thames
Patumahoe
Pukekohe
Whangamata
Pokeno
Waiuku
Tuakau
Ngatea
Paeroa
Waihi
Te Kauwhata
Waihi Beach-Bowentown
Te Aroha
Huntly
Katikati
Omokoroa
Mount Maunganui
Morrinsville
Ngaruawahia
Tauranga
Te Puke
Hamilton
Raglan
Matamata
Cambridge
Ruatoria
Whakatane
Edgecumbe
Ohope
Pirongia
Te Awamutu
Opotiki
Kihikihi
Putaruru
Ngongotaha
Kawerau
Rotorua
Otorohanga
Tokoroa
Te Kuiti
Mangakino
Murupara
Gisborne
Taupo
Taumarunui
Turangi
Waitara
Wairoa
New Plymouth
Oakura (New Plymouth District)
Inglewood
Stratford
Ohakune
Raetihi
Eltham
Opunake
Waiouru
Napier
Clive
Hawera
Hastings
Taihape
Havelock North
Patea
Whanganui
Waipawa
Waipukurau
Marton
Bulls
Dannevirke
Feilding
Ashhurst
Woodville
Palmerston North
Pahiatua
Foxton Beach
Foxton
Shannon
Levin
Otaki Beach
Otaki
Waikanae
Takaka
Paraparaumu
Masterton
Paekakariki
Carterton
Greytown
Porirua
Featherston
Motueka
Upper Hutt
Lower Hutt
Martinborough
Mapua
Wainuiomata
Nelson
Picton
Wellington CBD
Wellington
Eastbourne
Richmond
Hope
Brightwater
Wakefield
Renwick
Blenheim
Seddon
Westport
St Arnaud
Murchison
Ward
Reefton
Springs Junction
Runanga
Kaikoura
Greymouth
Hanmer Springs
Hokitika
Cheviot
Otira
Arthurs Pass
Harihari
Amberley
Oxford
Rangiora
Pegasus
Woodend
Franz Josef
Kaiapoi
Fox Glacier
Darfield
West Melton
Christchurch
Prebbleton
Lyttelton
Rolleston
Methven
Diamond Harbour
Lincoln
Mt Cook Village
Rakaia
Leeston
Akaroa
Ashburton
Geraldine
Fairlie
Temuka
Pleasant Point
Twizel
Timaru
Lake Hawea
Milford Sound
Wanaka
Waimate
Arrowtown
Arthurs Point
Lake Hayes
Queenstown
Cromwell
Oamaru
Clyde
Alexandra
Te Anau
Palmerston
Waikouaiti
Mosgiel
Dunedin
Brighton
Gore
Milton
Winton
Mataura
Balclutha
Riverton
Invercargill
Bluff
Oban
